gene,signedsig__GSE125583_PRJNA516886_meta,signedsig__GSE159699_PRJNA670209_meta,signedsig__GSE231341_PRJNA964438_meta,signedsig__GSE95587_PRJNA377568_meta,signedsig__MayoRNAseq_cerebellum_meta1,signedsig__MayoRNAseq_cerebellum_meta2,signedsig__MSBB_meta1,signedsig__MSBB_meta2,signedsig__MSBB_meta3,signedsig__MSBB_meta4,signedsig__ROSMAP_meta1,signedsig__ROSMAP_meta6
ABCG2,0.0167675045802706,0.0588455389195509,0.0047746857406244,0.0027223110087728,0.0172626963423701,0.0316647371814962,0.0001190088822678,0.0018220618027068,0.0001744365170386,0.0002489630655444,0.005409714193178,0.0031719391542861
ABCG4,0.0008077963649891,0.024439159660981,0.0007965838110753,0.0001795515253086,0.0531698090940278,0.0017569621026388,0.0008996191340614,0.0099930714673574,0.002455520961872,0.0452072103944124,0.000308839108791,0.0028299598617097
ABHD1,0.0653897967650838,0.000177813182678,0.0017097127995399,0.0114903798306291,0.0195000058788416,0.0525074516793549,0.0034574455612142,0.0024035940411898,0.0333620583592339,0.0074315930630743,6.8906688037941e-05,0.0001875562690072
ABHD10,0.0029549790111492,0.028926267417165,0.0045034089325442,0.002502413217613,0.2825538314754228,0.0263656699215391,0.0010522092984817,0.0045932549902945,0.0055558045906626,0.0201159956450952,0.0023573573049275,0.0007466388160745
ABHD11,0.0340637678955985,0.0642799010399587,0.0022164490868071,0.002065217276024,0.0185342871542398,0.0080363685382074,0.0255831485714754,0.0093551481202294,0.0184729677542865,0.0098046571936883,0.0100571298124918,0.0112060457325834
ABHD12,0.1243116357464815,0.0509941076799843,0.0041946363855041,0.0496896597047458,0.1705947698025227,0.0031999861556128,0.0122460048871749,0.0400374224087979,0.0246867829167275,0.0148180540213048,0.0027141914861093,0.2045208645237225
ABHD12B,0.0020954873294031,0.0027318215195579,0.0020314361127114,0.0039582458552574,0.0639700388090496,0.0064824272968748,0.0068831036474603,0.025670304472613,0.020679046410159,0.0123656254081116,0.0020565757012265,0.0157999062164121
ABHD14A,0.0319348083384011,0.0201261358263187,0.0044107864400662,0.0061992873913988,0.019599458504156,0.0004802420116917,0.0121411767108675,0.0382398602260913,0.0514332645374505,0.0197414259346224,0.0022381538227458,0.0051502303509378
ABHD14A-ACY1,0.004398730717661,0.0021946099398719,0.0015339658818242,0.016803441726168,0.0004268459636431,0.0452044071280896,0.021206367572276,0.0017150048006053,0.0342200749010603,0.0014710132509099,0.0060630734425659,0.0051728563653943
ABHD14B,0.0036981361257318,0.005994731861574,0.0168523808681495,0.006559357557624,0.0647715727736349,0.0636127845435085,0.0019236270169003,0.0070776730765856,0.0034720367498244,0.0124579834782382,0.004892322281179,0.0027668463593513
